country_id;region_name
4;Asia
8;Europe
20;Europe
10;Antarctica
12;Africa
24;Africa
16;Oceania
28;North America
31;Europe
32;South America
36;Oceania
40;Europe
44;North America
48;Asia
50;Asia
51;Europe
52;North America
56;Europe
60;North America
64;Asia
68;South America
70;Europe
72;Africa
74;Antarctica
76;South America
84;North America
86;Asia
90;Oceania
92;North America
96;Asia
100;Europe
104;Asia
108;Africa
112;Europe
116;Asia
120;Africa
124;North America
132;Africa
136;North America
140;Africa
144;Asia
148;Africa
152;South America
156;Asia
158;Asia
162;Asia
166;Asia
170;South America
174;Africa
175;Africa
178;Africa
180;Africa
184;Oceania
188;North America
191;Europe
192;North America
196;Europe
203;Europe
204;Africa
208;Europe
212;North America
214;North America
218;South America
222;North America
226;Africa
231;Africa
232;Africa
233;Europe
234;Europe
238;South America
239;Antarctica
242;Oceania
246;Europe
248;Europe
250;Europe
254;South America
258;Oceania
260;Antarctica
262;Africa
266;Africa
268;Europe
270;Africa
275;Asia
276;Europe
288;Africa
292;Europe
296;Oceania
300;Europe
304;North America
308;North America
312;North America
316;Oceania
320;North America
324;Africa
328;South America
332;North America
334;Antarctica
336;Europe
340;North America
344;Asia
348;Europe
352;Europe
356;Asia
360;Asia
364;Asia
368;Asia
372;Europe
376;Asia
380;Europe
384;Africa
388;North America
392;Asia
398;Europe
400;Asia
404;Africa
408;Asia
410;Asia
414;Asia
417;Asia
418;Asia
422;Asia
426;Africa
428;Europe
430;Africa
434;Africa
438;Europe
440;Europe
442;Europe
446;Asia
450;Africa
454;Africa
458;Asia
462;Asia
466;Africa
470;Europe
474;North America
478;Africa
480;Africa
484;North America
492;Europe
496;Asia
498;Europe
499;Europe
500;North America
504;Africa
508;Africa
512;Asia
516;Africa
520;Oceania
524;Asia
528;Europe
530;North America
531;North America
533;North America
534;North America
535;North America
540;Oceania
548;Oceania
554;Oceania
558;North America
562;Africa
566;Africa
570;Oceania
574;Oceania
578;Europe
580;Oceania
581;Oceania
583;Oceania
584;Oceania
585;Oceania
586;Asia
591;North America
598;Oceania
600;South America
604;South America
608;Asia
612;Oceania
616;Europe
620;Europe
624;Africa
626;Asia
630;North America
634;Asia
638;Africa
642;Europe
643;Europe
646;Africa
652;North America
654;Africa
659;North America
660;North America
662;North America
663;North America
666;North America
670;North America
674;Europe
678;Africa
682;Asia
686;Africa
688;Europe
690;Africa
694;Africa
702;Asia
703;Europe
704;Asia
705;Europe
706;Africa
710;Africa
716;Africa
724;Europe
728;Africa
732;Africa
736;Africa
740;South America
744;Europe
748;Africa
752;Europe
756;Europe
760;Asia
762;Asia
764;Asia
768;Africa
772;Oceania
776;Oceania
780;North America
784;Asia
788;Africa
792;Europe
795;Asia
796;North America
798;Oceania
800;Africa
804;Europe
807;Europe
818;Africa
826;Europe
831;Europe
832;Europe
833;Europe
834;Africa
840;North America
850;North America
854;Africa
858;South America
860;Asia
862;South America
876;Oceania
882;Oceania
887;Asia
894;Africa
830;Europe
928;Oceania
954;Oceania
1835;Oceania
957;Oceania
729;Oceania
